key,text
"please_enter_your_phone_number","Please enter your phone number"
"please_select_your_gender","Please select your gender"
"blocked_date_updated_successfully","Blocked date updated successfully"
"blocked_quantity","Blocked quantity"
"cancel_policy_variant","Cancel Policy variant"
"select_an_variant","Select an variant"
"cancel_policy_variant_percentage","Cancel Policy variant (percentage)"
"cancel_policy_variant_fixed","Cancel Policy variant (fixed)"
"cancel_policy_variant_free","Cancel Policy variant (free)"
"rate","Rate"
"listing_created_successfully","Listing created successfully"
"publish_listing","Publish listing"
"are_you_sure_you_want_to_publish_this_listing","Are you sure you want to publish this listing?"
"listing_published_successfully","Listing published successfully"
"property_details_and_information","Property details and information."
"published","Published"
"draft","Draft"
"images","Images"
"name","Name"
"description","Description"
"pricing_details_and_information","Pricing details and information."
"price_per_night","Price (per night)"
"price","Price"
"quantity","Quantity"
"person_capacity","Person capacity"
"check_in_time","Check In Time"
"check_out_time","Check Out Time"
"location_details_and_information","Location details and information."
"level_1","Level 1"
"level_2","Level 2"
"level_3","Level 3"
"additional_information","Additional Information"
"please_select_location","Please select location"
"discount_and_cancel_policy_details_and_information","Discount and cancel policy details and information."
"action","Action"
"your_listings","Your Listings"
"is_admin_active","Is Admin Active"
"is_active","Booked Date"
"booked_date","Booked Date"
"total_rates","Total Rates"
"saves","Saves"
"stay_dates","Stay Dates"
"total_price","Total Price"
"booked_time","Booked Time"
"your_bookings","Your Bookings"
"date_range","Date Range"
"password_updated_successfully","Password updated successfully"
"please_verify_your_confirm_password","Please verify your confirm password"
"current_password","Current password"
"new_password","New password"
"confirm_password","Confirm password"
"deactivating_your_account_is_temporary","Deactivating your account is temporary. Your account and main profile will be deactivated, and your name and photos will be removed from most things youve done."
"profile_updated_successfully","Profile updated successfully"
"order_created_successfully","Order created successfully"
"are_you_sure_you_want_to_cancel_this_booking","Are you sure you want to cancel this booking?"
"booking_details_and_payment_information","Booking details and payment information."
"cancel_request_in_progress","Cancel request in progress"
"please_wait_for_the_cancellation_request_to_be_processed","Please wait for the cancellation request to be processed."
"write_a_review","Write a review"
"your_booking_has_been_cancelled","Your booking has been cancelled"
"your_booking_has_been_cancelled_please_contact_support_if_you_have_any_questions","Your booking has been cancelled. Please contact support if you have any questions."
"your_booking_is_unable_to_pay_please_contact_support_if_you_have_any_questions","Your booking is unable to pay. Please contact support if you have any questions."
"payment_successful_description","Your payment has been successfully processed."
"login_security","Login & Security"
"beautiful_place","Beautiful place"
"no_data","No data"
"where","Where"
"search_for_places","Search for places"
"select_dates","Select dates"
"show","Show"
"no_stays_available","No stays available"
"removed_from_wishlist","Removed from wishlist"
"added_to_wishlist","Added to wishlist"
"unauthorized_error","Unauthorized error"
"you_ll_be_staying_in_someone_s_home_so_please_treat","You&apos;ll be stayung in someone&apos;s home, so please treat"
"reservation_unavailable_for_selected_dates","Reservation Unavailable for Selected Dates"
"we_apologize_but_the_property_is_not_available","We apologize, but the property is not available for booking during your selected dates. Please select different dates or contact our customer support team for assistance."
"if_nothing_happens","If nothing happens, please download our app"
"the_page_you_re_looking_for_doesn_t_exist_or_has_been_moved","The page you&apos;re looking for doesn&apos;t exist or has been moved."
"download_the_app_for_more_fast_booking","Download the app for more fast booking"
"listings","Listings"
"reservations","Reservations"
"please_enter_the_otp_that_we_send_to_your_email","Please enter the OTP that we send to your email. Please check your email."
"for_your_security_please_re_enter_your_password_to_continue","For your security, please re-enter your password to continue."
